No.	NAME	CATS2D_00_DD	CATS2D_01_DD	CATS2D_02_DD	CATS2D_03_DD	CATS2D_04_DD	CATS2D_05_DD	CATS2D_06_DD	CATS2D_07_DD	CATS2D_08_DD	CATS2D_09_DD	CATS2D_00_DA	CATS2D_01_DA	CATS2D_02_DA	CATS2D_03_DA	CATS2D_04_DA	CATS2D_05_DA	CATS2D_06_DA	CATS2D_07_DA	CATS2D_08_DA	CATS2D_09_DA	CATS2D_00_DP	CATS2D_01_DP	CATS2D_02_DP	CATS2D_03_DP	CATS2D_04_DP	CATS2D_05_DP	CATS2D_06_DP	CATS2D_07_DP	CATS2D_08_DP	CATS2D_09_DP	CATS2D_00_DN	CATS2D_01_DN	CATS2D_02_DN	CATS2D_03_DN	CATS2D_04_DN	CATS2D_05_DN	CATS2D_06_DN	CATS2D_07_DN	CATS2D_08_DN	CATS2D_09_DN	CATS2D_00_DL	CATS2D_01_DL	CATS2D_02_DL	CATS2D_03_DL	CATS2D_04_DL	CATS2D_05_DL	CATS2D_06_DL	CATS2D_07_DL	CATS2D_08_DL	CATS2D_09_DL	CATS2D_00_AA	CATS2D_01_AA	CATS2D_02_AA	CATS2D_03_AA	CATS2D_04_AA	CATS2D_05_AA	CATS2D_06_AA	CATS2D_07_AA	CATS2D_08_AA	CATS2D_09_AA	CATS2D_00_AP	CATS2D_01_AP	CATS2D_02_AP	CATS2D_03_AP	CATS2D_04_AP	CATS2D_05_AP	CATS2D_06_AP	CATS2D_07_AP	CATS2D_08_AP	CATS2D_09_AP	CATS2D_00_AN	CATS2D_01_AN	CATS2D_02_AN	CATS2D_03_AN	CATS2D_04_AN	CATS2D_05_AN	CATS2D_06_AN	CATS2D_07_AN	CATS2D_08_AN	CATS2D_09_AN	CATS2D_00_AL	CATS2D_01_AL	CATS2D_02_AL	CATS2D_03_AL	CATS2D_04_AL	CATS2D_05_AL	CATS2D_06_AL	CATS2D_07_AL	CATS2D_08_AL	CATS2D_09_AL	CATS2D_00_PP	CATS2D_01_PP	CATS2D_02_PP	CATS2D_03_PP	CATS2D_04_PP	CATS2D_05_PP	CATS2D_06_PP	CATS2D_07_PP	CATS2D_08_PP	CATS2D_09_PP	CATS2D_00_PN	CATS2D_01_PN	CATS2D_02_PN	CATS2D_03_PN	CATS2D_04_PN	CATS2D_05_PN	CATS2D_06_PN	CATS2D_07_PN	CATS2D_08_PN	CATS2D_09_PN	CATS2D_00_PL	CATS2D_01_PL	CATS2D_02_PL	CATS2D_03_PL	CATS2D_04_PL	CATS2D_05_PL	CATS2D_06_PL	CATS2D_07_PL	CATS2D_08_PL	CATS2D_09_PL	CATS2D_00_NN	CATS2D_01_NN	CATS2D_02_NN	CATS2D_03_NN	CATS2D_04_NN	CATS2D_05_NN	CATS2D_06_NN	CATS2D_07_NN	CATS2D_08_NN	CATS2D_09_NN	CATS2D_00_NL	CATS2D_01_NL	CATS2D_02_NL	CATS2D_03_NL	CATS2D_04_NL	CATS2D_05_NL	CATS2D_06_NL	CATS2D_07_NL	CATS2D_08_NL	CATS2D_09_NL	CATS2D_00_LL	CATS2D_01_LL	CATS2D_02_LL	CATS2D_03_LL	CATS2D_04_LL	CATS2D_05_LL	CATS2D_06_LL	CATS2D_07_LL	CATS2D_08_LL	CATS2D_09_LL
4745	Molecule4745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	8	8	20	8	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	4	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	4	2	10	6	2	0	0	0	12	7	8	3	2	6	16	14	7	2
4746	Molecule4746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	10	8	5	2	1	0	0	0	0	4	2	2	0	0	0	0	0	0	2	2	7	2	2	0	0	0	0	0	0	0	4	6	16	16	7	8	7	6	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	2	0	2	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	8	2	0	4	2	0	9	5	6	5	2	0	4	4	1	4
4747	Molecule4747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	4	7	9	4	5	5	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	4	5	5	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	2	3	3	6	9	10	0	0	0	17	14	16	14	17	21	26	18	10	0
4748	Molecule4748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	10	9	8	6	0	15	18	12	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	10	8	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	2	3	4	18	14	0	0	0	0	21	12	12	12	26	49	51	36	12	0
4749	Molecule4749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	2	0	0	1	0	0	0	1	2	0	0	3	0	0	2	0	0	0	2	4	2	0	4	2	0	2	0	0	6	12	8	10	12	8	6	2	2	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	3	0	0	0	2	1	3	4	6	7	7	2	0	4	0	2	0	0	0	2	0	2	0	2	1	2	1	7	12	16	12	8	2	16	13	15	12	13	18	18	16	10	4
4750	Molecule4750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	24	24	12	24	48	84	96	78	36
4751	Molecule4751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	6	0	24	0	36	0	0	0
4752	Molecule4752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	20	12	7	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	20	26	29	32	37	41	32	22	15
4753	Molecule4753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	7	10	6	7	8	2	0	0	2	0	1	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	1	4	10	9	10	5	1	0	0	3	0	3	0	0	0	0	0	0	0	1	2	4	8	17	15	11	2	0	0	20	16	17	17	16	16	19	25	32	23
4754	Molecule4754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	22	15	14	9	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	26	36	37	40	41	52	44	38	30
4755	Molecule4755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	2	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	5	0	2	0	0	0	0	0	0	0	9	15	22	15	12	8	3	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	7	6	3	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	5	7	12	10	3	3	0	0	21	18	22	19	18	23	35	34	21	10
4756	Molecule4756	2	0	1	0	0	0	0	0	0	0	0	0	2	2	2	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	5	8	4	0	0	0	7	0	2	3	1	5	2	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	9	9	9	12	16	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	5	2	0	1	4	10	14	9
