No.	NAME	CATS2D_00_DD	CATS2D_01_DD	CATS2D_02_DD	CATS2D_03_DD	CATS2D_04_DD	CATS2D_05_DD	CATS2D_06_DD	CATS2D_07_DD	CATS2D_08_DD	CATS2D_09_DD	CATS2D_00_DA	CATS2D_01_DA	CATS2D_02_DA	CATS2D_03_DA	CATS2D_04_DA	CATS2D_05_DA	CATS2D_06_DA	CATS2D_07_DA	CATS2D_08_DA	CATS2D_09_DA	CATS2D_00_DP	CATS2D_01_DP	CATS2D_02_DP	CATS2D_03_DP	CATS2D_04_DP	CATS2D_05_DP	CATS2D_06_DP	CATS2D_07_DP	CATS2D_08_DP	CATS2D_09_DP	CATS2D_00_DN	CATS2D_01_DN	CATS2D_02_DN	CATS2D_03_DN	CATS2D_04_DN	CATS2D_05_DN	CATS2D_06_DN	CATS2D_07_DN	CATS2D_08_DN	CATS2D_09_DN	CATS2D_00_DL	CATS2D_01_DL	CATS2D_02_DL	CATS2D_03_DL	CATS2D_04_DL	CATS2D_05_DL	CATS2D_06_DL	CATS2D_07_DL	CATS2D_08_DL	CATS2D_09_DL	CATS2D_00_AA	CATS2D_01_AA	CATS2D_02_AA	CATS2D_03_AA	CATS2D_04_AA	CATS2D_05_AA	CATS2D_06_AA	CATS2D_07_AA	CATS2D_08_AA	CATS2D_09_AA	CATS2D_00_AP	CATS2D_01_AP	CATS2D_02_AP	CATS2D_03_AP	CATS2D_04_AP	CATS2D_05_AP	CATS2D_06_AP	CATS2D_07_AP	CATS2D_08_AP	CATS2D_09_AP	CATS2D_00_AN	CATS2D_01_AN	CATS2D_02_AN	CATS2D_03_AN	CATS2D_04_AN	CATS2D_05_AN	CATS2D_06_AN	CATS2D_07_AN	CATS2D_08_AN	CATS2D_09_AN	CATS2D_00_AL	CATS2D_01_AL	CATS2D_02_AL	CATS2D_03_AL	CATS2D_04_AL	CATS2D_05_AL	CATS2D_06_AL	CATS2D_07_AL	CATS2D_08_AL	CATS2D_09_AL	CATS2D_00_PP	CATS2D_01_PP	CATS2D_02_PP	CATS2D_03_PP	CATS2D_04_PP	CATS2D_05_PP	CATS2D_06_PP	CATS2D_07_PP	CATS2D_08_PP	CATS2D_09_PP	CATS2D_00_PN	CATS2D_01_PN	CATS2D_02_PN	CATS2D_03_PN	CATS2D_04_PN	CATS2D_05_PN	CATS2D_06_PN	CATS2D_07_PN	CATS2D_08_PN	CATS2D_09_PN	CATS2D_00_PL	CATS2D_01_PL	CATS2D_02_PL	CATS2D_03_PL	CATS2D_04_PL	CATS2D_05_PL	CATS2D_06_PL	CATS2D_07_PL	CATS2D_08_PL	CATS2D_09_PL	CATS2D_00_NN	CATS2D_01_NN	CATS2D_02_NN	CATS2D_03_NN	CATS2D_04_NN	CATS2D_05_NN	CATS2D_06_NN	CATS2D_07_NN	CATS2D_08_NN	CATS2D_09_NN	CATS2D_00_NL	CATS2D_01_NL	CATS2D_02_NL	CATS2D_03_NL	CATS2D_04_NL	CATS2D_05_NL	CATS2D_06_NL	CATS2D_07_NL	CATS2D_08_NL	CATS2D_09_NL	CATS2D_00_LL	CATS2D_01_LL	CATS2D_02_LL	CATS2D_03_LL	CATS2D_04_LL	CATS2D_05_LL	CATS2D_06_LL	CATS2D_07_LL	CATS2D_08_LL	CATS2D_09_LL
1400	Molecule1400	2	0	0	0	0	0	0	1	0	0	2	0	2	0	4	6	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	2	0	0	2	20	24	12	4	8	0	10	7	4	6	0	1	0	0	0	6	6	2	2	0	0	0	0	0	2	0	12	9	4	4	0	0	0	0	0	0	8	6	60	74	56	36	12	4	2	1	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	2	22	24	12	4	0	0	0	4	0	2	4	0	0	0	0	0	0	0	2	6	4	46	46	20	4	0	0	32	22	20	10	16	57	120	116	75	40
1401	Molecule1401	2	0	0	0	0	0	0	1	0	0	2	0	2	0	6	8	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	1	8	11	6	2	10	0	17	13	6	8	0	1	0	0	0	8	8	2	2	0	0	0	0	0	3	0	15	11	4	4	0	0	0	0	0	0	0	4	32	45	32	19	6	2	2	1	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	1	8	11	6	2	0	0	0	4	0	3	3	0	0	0	0	0	0	0	1	2	3	14	20	12	4	0	0	14	11	10	5	8	20	22	12	3	0
1402	Molecule1402	1	0	0	0	0	0	0	0	0	0	1	0	1	0	3	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	6	12	8	3	8	0	13	9	3	3	0	0	0	0	0	7	7	1	1	0	0	0	0	0	3	0	13	9	2	2	0	0	0	0	0	0	0	3	48	81	59	30	8	3	2	1	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	1	14	23	15	5	0	0	0	4	0	2	4	0	0	0	0	0	0	0	1	2	2	30	45	28	8	0	0	29	23	22	11	20	50	64	69	66	51
1403	Molecule1403	2	0	0	0	0	0	0	1	0	0	2	0	2	0	4	6	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	2	16	22	12	4	8	0	10	7	4	6	0	1	0	0	0	6	6	2	2	0	0	0	0	0	2	0	12	9	4	4	0	0	0	0	0	0	0	6	48	68	52	34	12	4	2	1	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	2	16	22	12	4	0	0	0	4	0	2	4	0	0	0	0	0	0	0	2	4	4	36	42	20	4	0	0	28	22	20	10	16	51	75	73	55	36
1404	Molecule1404	2	0	0	1	0	0	0	0	0	0	2	0	4	5	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	2	2	20	24	12	4	0	0	6	0	8	7	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	2	0	12	9	0	0	0	0	0	0	0	0	6	6	60	72	36	12	0	0	2	1	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	2	22	24	12	4	0	0	0	4	0	2	4	0	0	0	0	0	0	0	2	6	4	46	46	20	4	0	0	32	22	20	10	16	57	120	116	75	40
1405	Molecule1405	2	0	0	1	0	0	0	0	0	0	2	0	4	5	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	2	2	20	24	12	4	0	0	6	0	8	7	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	2	0	12	9	0	0	0	0	0	0	0	0	6	6	60	72	36	12	0	0	2	1	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	2	22	24	12	4	0	0	0	4	0	2	4	0	0	0	0	0	0	0	2	6	4	46	46	20	4	0	0	32	22	20	10	16	57	120	116	75	40
1406	Molecule1406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	4	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	6	3	3	0	0	0	0	0	0	0	6	9	23	27	21	11	3	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	2	9	9	3	0	0	0	0	3	0	3	0	0	0	0	0	0	0	2	2	5	7	25	24	9	0	0	0	25	19	22	16	34	56	60	54	30	9
1407	Molecule1407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	4	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	6	3	3	0	0	0	0	0	0	0	7	9	25	28	21	11	3	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	2	9	9	4	0	0	0	0	3	0	3	0	0	0	0	0	0	0	2	2	5	7	25	24	12	0	0	0	26	19	22	16	34	56	62	57	39	17
1408	Molecule1408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	4	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	6	3	3	0	0	0	0	0	0	0	7	11	27	33	27	15	4	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	2	9	9	4	2	2	1	0	3	0	3	0	0	0	0	0	0	0	2	2	5	7	25	24	12	6	6	3	31	25	28	19	34	56	62	61	49	43
1409	Molecule1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	18	0	32	12	34	0	20	8	0	5	0	4	0	8	0	0	0	0	2	0	16	0	12	0	20	0	0	0	0	0	47	41	84	36	112	92	160	96	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	10	1	8	8	16	8	8	3	0	3	0	0	0	0	0	0	0	1	0	6	0	30	7	28	24	44	20	60	46	41	28	46	57	100	88	116	124
